image_id,image description,frames,Emotions,Values,Triggers
505,arafed image of a group of men and women posing for a picture,"frame:Organization, frame:OpticalImage, frame:Aggregate, frame:PosingAs, frame:Awareness, frame:Sensation, frame:Feigning",,"folk:Consciousness, mft:Cheating","https://w3id.org/framester/wn/wn30/instances/synset-image-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-image-noun-1, https://w3id.org/framester/data/framestercore/PosingAs, https://w3id.org/framester/data/framestercore/Feigning, https://w3id.org/framester/wn/wn30/instances/synset-picture-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
506,a woman driving a car with a cell phone in her hand,"frame:ObservableBodyParts, frame:RideVehicle, frame:CauseMotion, frame:Bringing, frame:Vehicle, frame:Contacting, frame:SelfMotion, frame:Substance, frame:People, frame:OperateVehicle, frame:CommunicationMeans",,,"https://w3id.org/framester/wn/wn30/instances/synset-cell-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-telephone-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-hand-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1"
508,a close up of a laptop with a person on it,frame:People,,,"https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-person-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-laptop-noun-1"
510,arafed woman smoking a cigarette with a red background,"frame:People, frame:Intoxicants, frame:IngestSubstance, frame:Color",,,"https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-red-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-background-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cigarette-noun-1"
512,arafed for me - the pepsi advertises the pepsi brand,,,,"https://w3id.org/framester/wn/wn30/instances/synset-Pepsi-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-trade%20name-noun-1"
516,a black and white advertisement for a chocolate bar with cartoon characters,,,,"https://w3id.org/framester/wn/wn30/instances/synset-ad-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-black-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-barroom-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cartoon-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cocoa-noun-1"
520,arafed image of a car that has been smashed into pieces,,,folk:Consciousness,"https://w3id.org/framester/wn/wn30/instances/synset-image-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-image-noun-1"
522,smoke coming out of a lung with a cigarette in the middle,,,,"https://w3id.org/framester/wn/wn30/instances/synset-lung-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-center-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cigarette-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-smoke-noun-1"
526,arafed man holding a fishing rod in front of a boat,,,mft:Harm,"https://w3id.org/framester/wn/wn30/instances/synset-rod-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-boat-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-fishing-noun-1"
528,a close up of a person on a surfboard in the water,"frame:People, frame:Substance",,,"https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-water-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-surfboard-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-person-noun-1"
530,arafed water tower with a cow statue on top of it,"frame:PartOrientational, frame:PhysicalArtworks, frame:Animals, frame:BuildingSubparts, frame:Buildings, frame:Substance",,,"https://w3id.org/framester/wn/wn30/instances/synset-water-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cow-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-statue-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-tower-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-water%20tower-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-top-noun-2"
533,a man in a suit standing next to a silver car,"frame:Clothing, frame:Posture, frame:Placing, frame:Vehicle, frame:ChangePosture, frame:BeingLocated, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-silver-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-suit-noun-1"
535,a close up of a bottle of hennessy next to glasses of wine,"frame:Containers, frame:MeasureVolume, frame:RelativeTime, frame:Intoxicants",,"mft:Care, folk:Helping, bhv:Benevolence","https://w3id.org/framester/wn/wn30/instances/synset-following-adjectivesatellite-2, https://w3id.org/framester/wn/wn30/instances/synset-wine-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-wine-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bottle-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1"
536,a black and white photo of a woman in a bathing suit,"frame:People, frame:Representing, frame:Clothing, frame:Color",,,"https://w3id.org/framester/wn/wn30/instances/synset-suit-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-photograph-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-black-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-bathing-noun-1"
537,arafed advertisement of a red car in a parking lot,"frame:Vehicle, frame:Aggregate, frame:Quantity, frame:Color",,,"https://w3id.org/framester/wn/wn30/instances/synset-batch-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-ad-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-parking-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-red-adjectivesatellite-1"
540,a close up of a spiral shaped object with a snake on it,frame:CauseChange,,,"https://w3id.org/framester/wn/wn30/instances/synset-coiling-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-shaped-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-object-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-snake-noun-1"
541,a black and white photo of a radio with a sign on it,"frame:Representing, frame:Sign, frame:Color",,,"https://w3id.org/framester/wn/wn30/instances/synset-radio%20receiver-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sign-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-photograph-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-black-adjective-1"
542,a close up of a white volkswagen advertisement with a blue sticker,frame:Color,,,"https://w3id.org/framester/wn/wn30/instances/synset-ad-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-dagger-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-blue-adjectivesatellite-1"
543,a close up of a man in a boxing ring with a rope,"frame:People, frame:Connectors",,folk:Control,"https://w3id.org/framester/wn/wn30/instances/synset-rope-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rope-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-boxing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-ring-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1"
544,a close up of a lizard with a lizard like face and a plant in a glass container,"frame:ObservableBodyParts, frame:Containers, frame:FacialExpression, frame:LocaleByUse, frame:Substance",,,"https://w3id.org/framester/wn/wn30/instances/synset-plant-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-face-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-glass-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-container-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-lizard-noun-1"
545,a man standing in the water with a rainbow in the background,"frame:People, frame:OccupyRank, frame:Substance",,"mft:Authority, folk:Consideration","https://w3id.org/framester/data/framestercore/OccupyRank, https://w3id.org/framester/wn/wn30/instances/synset-water-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-background-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rainbow-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1"
550,a close up of a person standing next to a burrito,"frame:Posture, frame:Placing, frame:ChangePosture, frame:BeingLocated, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-burrito-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-person-noun-1"
551,there is a teddy bear sitting on the ground in front of a building,"frame:PartOrientational, frame:NaturalFeatures, frame:Posture, frame:Placing, frame:ChangePosture, frame:BeingLocated, frame:Buildings",,mft:Harm,"https://w3id.org/framester/wn/wn30/instances/synset-building-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bear-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-land-noun-4, https://w3id.org/framester/wn/wn30/instances/synset-there-noun-1"
553,a close up of a black and white photo of a mouth with teeth,"frame:ObservableBodyParts, frame:Representing, frame:ShapedPart, frame:Color",,folk:Control,"https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-photograph-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-black-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-mouth-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-mouth-noun-1"
556,a close up of a boat on a beach near the ocean,"frame:NaturalFeatures, frame:Vehicle",,,"https://w3id.org/framester/wn/wn30/instances/synset-ocean-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-beach-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-boat-noun-1"
559,a cartoon of a car driving down a street with a man on the side,"frame:RideVehicle, frame:CreateRepresentation, frame:CauseMotion, frame:LaborProduct, frame:OperateVehicle, frame:WorkingOn, frame:Vehicle, frame:Bringing, frame:Willingness, frame:SelfMotion, frame:People, frame:Roadways",,folk:Willingness,"https://w3id.org/framester/wn/wn30/instances/synset-side-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-down-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-down-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cartoon-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-street-noun-1, https://w3id.org/framester/data/framestercore/Willingness"
560,a cartoon man holding a chainsaw in a room with a sign,"frame:Manipulation, frame:CreateRepresentation, frame:LaborProduct, frame:WorkingOn, frame:Sign, frame:People, frame:Containing, frame:Inclusion, frame:Possession, frame:BuildingSubparts",,folk:Control,"https://w3id.org/framester/data/framestercore/Manipulation, https://w3id.org/framester/wn/wn30/instances/synset-room-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sign-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cartoon-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-chain%20saw-noun-1"
562,a man riding a lawn mower in front of a white picket fence,"frame:PartOrientational, frame:RideVehicle, frame:InchoativeAttaching, frame:Color, frame:Attaching, frame:Protecting, frame:People, frame:OperateVehicle, frame:Closure, frame:Travel",,"mft:Care, mft:Harm, bhv:Security","https://w3id.org/framester/wn/wn30/instances/synset-lawn%20mower-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-lawn-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-picket%20fence-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-picket-noun-5, https://w3id.org/framester/wn/wn30/instances/synset-fence-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-fence-noun-1, https://w3id.org/framester/data/framestercore/Protecting, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1"
563,arafed man on a skateboard in a living room with a magazine,"frame:People, frame:OperateVehicle, frame:Text, frame:BuildingSubparts",,,"https://w3id.org/framester/wn/wn30/instances/synset-room-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-skateboard-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-magazine-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-life-noun-2"
564,arafed baby hanging from a rope with a sign saying dareds are born loving fear,"frame:CauseToStart, frame:PeopleByAge, frame:Sign, frame:Statement, frame:Connectors, frame:IntentionallyCreate, frame:Fear, frame:ExperiencerFocus, frame:Birth, frame:Communication, frame:Request, frame:Creating, frame:TextCreation",be:Fear,"folk:Family, mft:Harm, folk:Control","https://w3id.org/framester/wn/wn30/instances/synset-rope-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rope-noun-1, https://w3id.org/framester/data/framestercore/Fear, https://w3id.org/framester/wn/wn30/instances/synset-hanging-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-baby-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sign-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-fear-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-fear-noun-1"
566,arafed image of a man standing on a bridge with a sign in the background,"frame:Posture, frame:Placing, frame:Sign, frame:Awareness, frame:ChangePosture, frame:BeingLocated, frame:People, frame:Roadways",,folk:Consciousness,"https://w3id.org/framester/wn/wn30/instances/synset-image-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-image-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-background-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bridge-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sign-noun-1"
568,a bottle of beer with a small amount of water on it,"frame:Containers, frame:Size, frame:Food, frame:MeasureVolume, frame:AmountingTo, frame:Dimension, frame:Substance",,,"https://w3id.org/framester/wn/wn30/instances/synset-water-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sum-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-beer-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-small-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-bottle-noun-1"
570,a white horse standing next to a car with a white horse on it,"frame:Posture, frame:Placing, frame:Vehicle, frame:Color, frame:ChangePosture, frame:BeingLocated, frame:Assistance",,"mft:Care, folk:Helping, bhv:Benevolence","https://w3id.org/framester/wn/wn30/instances/synset-horse-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/data/framestercore/Assistance, https://w3id.org/framester/wn/wn30/instances/synset-horse-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1"
571,there is a picture of a picture of a vegetable elephant,"frame:OpticalImage, frame:Sensation",,,"https://w3id.org/framester/wn/wn30/instances/synset-picture-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-elephant-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-there-noun-1"
572,a large gorilla standing in front of a red house with a red roof,"frame:PartOrientational, frame:Size, frame:ArchitecturalPart, frame:Dimension, frame:Color, frame:OccupyRank, frame:Buildings",,"mft:Authority, folk:Consideration, mft:Harm","https://w3id.org/framester/data/framestercore/OccupyRank, https://w3id.org/framester/wn/wn30/instances/synset-gorilla-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-roof-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-large-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-house-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-red-adjectivesatellite-1"
574,there are two people sitting on the ground watching a fire,"frame:Seeking, frame:NaturalFeatures, frame:PerceptionActive, frame:Posture, frame:Cotheme, frame:Placing, frame:BeingAwake, frame:ChangePosture, frame:BeingLocated, frame:Event, frame:People",,folk:Analysis,"https://w3id.org/framester/wn/wn30/instances/synset-fire-noun-1, https://w3id.org/framester/vn/vn31/data/Watch_30020000, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-land-noun-4, https://w3id.org/framester/wn/wn30/instances/synset-there-noun-1"
576,a poster for a movie with a car and a woman driving in a car,"frame:RideVehicle, frame:CauseMotion, frame:Bringing, frame:Vehicle, frame:Attaching, frame:SelfMotion, frame:IntentionallyCreate, frame:People, frame:OperateVehicle, frame:Creating, frame:BehindTheScenes",,,"https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-movie-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
577,a poster with a cigarette hanging from a hook with a cigarette in it,"frame:Attaching, frame:Intoxicants",,,"https://w3id.org/framester/wn/wn30/instances/synset-hanging-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-hook-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cigarette-noun-1"
580,a close up of a child standing in a room with a light drawing on the wall,"frame:PeopleByAge, frame:ArchitecturalPart, frame:Dimension, frame:OccupyRank, frame:BuildingSubparts",,"mft:Care, folk:Consideration, mft:Authority, bhv:Security","https://w3id.org/framester/data/framestercore/OccupyRank, https://w3id.org/framester/wn/wn30/instances/synset-wall-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-wall-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-drawing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-room-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-light-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1"
581,a poster with a cigarette shaped like lungs and the words smoking causes lung cancer,"frame:ManipulateIntoShape, frame:Reshaping, frame:Causation, frame:Attaching, frame:IntentionallyCreate, frame:MedicalConditions, frame:Intoxicants",,folk:BadHealth,"https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/data/framestercore/MedicalConditions, https://w3id.org/framester/wn/wn30/instances/synset-cancer-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cancer-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-lung-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cigarette-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-smoke-noun-7"
583,a close up of a car with a bottle of liquid on it,"frame:Containers, frame:Vehicle, frame:Substance, frame:MeasureVolume",,,"https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bottle-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-liquid-noun-1"
584,a poster with a skeleton and a car in the background,"frame:Attaching, frame:Vehicle",,,"https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-skeletal%20system-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-background-noun-1"
588,"a poster for the movie, the leftover spaghettitti","frame:Attaching, frame:IntentionallyCreate, frame:Remainder, frame:Creating, frame:BehindTheScenes",,,"https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-movie-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-leftover-noun-1"
589,a close up of a cigarette with a cigarette lighter in the middle,"frame:SettingFire, frame:PartInnerOuter, frame:Intoxicants",,,"https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-center-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-igniter-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cigarette-noun-1"
590,a close up of a crocodile's mouth with its mouth open,"frame:ObservableBodyParts, frame:ShapedPart",,folk:Control,"https://w3id.org/framester/wn/wn30/instances/synset-outdoors-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-crocodile-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-mouth-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-mouth-noun-1"
592,a poster for the movie alien city,"frame:PoliticalLocales, frame:Attaching, frame:IntentionallyCreate, frame:PeopleByOrigin, frame:LocaleByUse, frame:Creating, frame:BehindTheScenes",,mft:Authority,"https://w3id.org/framester/wn/wn30/instances/synset-foreigner-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/data/framestercore/PoliticalLocales, https://w3id.org/framester/wn/wn30/instances/synset-city-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-city-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-movie-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-foreigner-noun-1"
597,a close up of a hedgehog in a bag with goldfish inside,"frame:Containers, frame:PartInnerOuter, frame:MeasureVolume",,,"https://w3id.org/framester/wn/wn30/instances/synset-goldfish-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-inside-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bag-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-porcupine-noun-1"
599,a picture taken from a magazine with a man pulling a tank,"frame:TakingTime, frame:Manipulation, frame:OpticalImage, frame:Text, frame:CauseMotion, frame:Vehicle, frame:Needing, frame:HaveAsRequirement, frame:Sensation, frame:People, frame:RequiredEvent",,folk:Control,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-magazine-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-picture-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-tank-noun-1, https://w3id.org/framester/data/framestercore/Manipulation"
601,a poster of a man driving a car with a gorilla on the dashboard,"frame:RideVehicle, frame:CauseMotion, frame:Bringing, frame:Vehicle, frame:Attaching, frame:SelfMotion, frame:People, frame:OperateVehicle",,,"https://w3id.org/framester/wn/wn30/instances/synset-gorilla-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-dashboard-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1"
603,"several people holding signs that say, you should end in the wrong order","frame:CauseToEnd, frame:Correctness, frame:Statement, frame:ActivityStop, frame:People, frame:ProcessEnd, frame:Request, frame:Communication, frame:Quantity, frame:TextCreation",,mft:Harm,"https://w3id.org/framester/wn/wn30/instances/synset-state-verb-1, https://w3id.org/framester/wn/wn30/instances/synset-state-verb-1, https://w3id.org/framester/wn/wn30/instances/synset-order-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-incorrect-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-several-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-end-verb-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1"
605,arafed man and child in a car with tools in front of them,"frame:PartOrientational, frame:Vehicle, frame:PeopleByAge, frame:People",,"mft:Care, mft:Harm","https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1"
609,a close up of a tall tower with a lot of moss on it,"frame:MeasurableAttributes, frame:Aggregate, frame:BodyDescriptionHolistic, frame:Dimension, frame:BuildingSubparts, frame:Buildings, frame:Quantity",,,"https://w3id.org/framester/wn/wn30/instances/synset-batch-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-moss-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-tower-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-tall-adjective-1"
611,a close up of two cars with the words don't drink and drive,"frame:RideVehicle, frame:CauseMotion, frame:Bringing, frame:Ingestion, frame:SelfMotion, frame:OperateVehicle",,folk:Control,"https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-drive-verb-1, https://w3id.org/framester/wn/wn30/instances/synset-drive-verb-1, https://w3id.org/framester/wn/wn30/instances/synset-drink-verb-1"
612,arafed man in a mask holding a sign that says you see better when you're,"frame:Desirability, frame:PerceptionExperience, frame:Accoutrements, frame:Sign, frame:Statement, frame:People, frame:Request, frame:Communication, frame:TextCreation",,"folk:Excellence, folk:Intuitive","https://w3id.org/framester/wn/wn30/instances/synset-better-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-better-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-see-verb-1, https://w3id.org/framester/wn/wn30/instances/synset-see-verb-1, https://w3id.org/framester/data/framestercore/Desirability, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sign-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-mask-noun-1"
621,araff is a man with a lot of bees on his hands,"frame:People, frame:Aggregate, frame:Quantity",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-batch-noun-2"
622,a close up of a syet with a can of mountain dew next to it,"frame:Containers, frame:NaturalFeatures, frame:MeasureVolume",,,"https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-mountain-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-can-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-dew-noun-1"
