image_id,image_description,frames
254,a couple of people sitting on the floor in a living room,"frame:Posture, frame:BuildingSubparts, frame:People, frame:ArchitecturalPart, frame:ChangePosture, frame:Placing, frame:PersonalRelationship, frame:BeingLocated"
257,a close up of a cup of ice cream with a warning sign,"frame:Sign, frame:CauseTemperatureChange, frame:Choosing, frame:InchoativeChangeOfTemperature, frame:Containers"
260,arafed woman smoking a cigarette with a cigarette in her mouth,"frame:Intoxicants, frame:IngestSubstance, frame:ShapedPart, frame:People, frame:ObservableBodyParts"
262,skier doing a flip on a snowy mountain with skis,"frame:Travel, frame:Motion, frame:NaturalFeatures"
263,a man in a ski mask with a lime in his mouth,"frame:Travel, frame:Accoutrements, frame:Motion, frame:ShapedPart, frame:People, frame:ObservableBodyParts"
264,a close up of a person holding a stick near a casino table,"frame:Gizmo, frame:People"
266,there is a woman sitting on the floor with a cell phone,"frame:Posture, frame:CommunicationMeans, frame:Contacting, frame:People, frame:ArchitecturalPart, frame:ChangePosture, frame:Substance, frame:Placing, frame:BeingLocated"
269,there is a woman standing in a room with a cat on the floor,"frame:BuildingSubparts, frame:People, frame:OccupyRank, frame:Animals, frame:ArchitecturalPart"
270,cartoon cat with a mouse on its back and a washing machine,"frame:Gizmo, frame:BeingEmployed, frame:WorkingOn, frame:ObservableBodyParts, frame:Animals, frame:LaborProduct, frame:CreateRepresentation"
272,a black and white photo of a man standing in front of a poster,"frame:Color, frame:Representing, frame:PartOrientational, frame:People, frame:Attaching, frame:OccupyRank"
273,a man wearing a mask with blood on it and a green background,"frame:Accoutrements, frame:Filling, frame:Color, frame:People, frame:Placing"
275,a close up of a man with chains on his chest,"frame:People, frame:ObservableBodyParts, frame:PartWhole"
276,arafed man flying through the air while holding onto a string,"frame:Motion, frame:People, frame:Bringing, frame:SelfMotion, frame:Connectors, frame:OperateVehicle, frame:Substance, frame:RideVehicle"
277,smoke coming out of two smoking stacks with the words stop burning your life,"frame:CommercePay, frame:Emitting, frame:Halt, frame:ShootProjectiles, frame:Arriving, frame:Existence, frame:ActivityStop, frame:ProcessStop"
278,arafed advertiser of a polar bear in the water,"frame:Substance, frame:JudgmentCommunication"
281,there is a woman standing in front of a wall with a gun,"frame:Posture, frame:BeingLocated, frame:PartOrientational, frame:People, frame:ArchitecturalPart, frame:ChangePosture, frame:Weapon, frame:Placing"
282,a close up of a glass grenade shaped object on a white background,"frame:Color, frame:Reshaping, frame:IntentionallyCreate, frame:CauseChange, frame:Substance, frame:Weapon, frame:ManipulateIntoShape"
287,"cartoon cat with mouse on back of it's back, sitting on a floor","frame:Posture, frame:WorkingOn, frame:ObservableBodyParts, frame:Animals, frame:ArchitecturalPart, frame:ChangePosture, frame:LaborProduct, frame:Placing, frame:CreateRepresentation, frame:BeingLocated"
288,arafed man in a gas mask sitting on a motorcycle,"frame:Posture, frame:RideVehicle, frame:Accoutrements, frame:People, frame:OperateVehicle, frame:Substance, frame:ChangePosture, frame:Placing, frame:BeingLocated"
289,an elephant smoking a cigarette with a cat sitting on a bed,"frame:Posture, frame:BeingLocated, frame:Intoxicants, frame:BuildingSubparts, frame:Animals, frame:ChangePosture, frame:Supply, frame:Causation, frame:Placing"
290,a close up of a cartoon snake with a man in a desert,
291,a poster with a picture of a man sitting on a rock,
292,a black and white drawing of a city with lots of buildings,
294,there is a young boy standing in a bathroom with a towel on his head,
295,a cartoon boat with a man on it floating in the water,"frame:Motion, frame:WorkingOn, frame:People, frame:Vehicle, frame:LaborProduct, frame:Substance, frame:CreateRepresentation"
297,a black and white photo of a hand grenade with a quote on it,"frame:Color, frame:Weapon, frame:Representing, frame:ObservableBodyParts"
299,arafed woman in white dress sitting on a chair next to a piano,"frame:Posture, frame:Color, frame:People, frame:Clothing, frame:ChangePosture, frame:NoiseMakers, frame:Placing, frame:BeingLocated"
300,a couple of little girls standing next to each other in school uniforms,"frame:Posture, frame:PersonalRelationship, frame:Dimension, frame:Size, frame:ChangePosture, frame:Placing, frame:LocaleByUse, frame:BeingLocated"
302,a close up of a person holding a rope with a plant in it,"frame:Connectors, frame:People, frame:LocaleByUse"
306,reality check climate change and the tar sands,"frame:Filling, frame:Weather, frame:Creating, frame:Adorning, frame:UndergoChange, frame:CauseChange"
308,a poster with a wine cork and a piece of wine,"frame:Intoxicants, frame:Creating, frame:PartWhole, frame:Attaching, frame:Building"
309,a picture of a group of orange and white cones sitting on top of a cement floor,"frame:Posture, frame:Aggregate, frame:Filling, frame:Color, frame:Adorning, frame:Sensation, frame:OpticalImage, frame:Attaching, frame:ArchitecturalPart, frame:ChangePosture, frame:Supply, frame:Placing, frame:Organization, frame:BeingLocated"
310,a close up of a television screen with a line of cups and an apple,"frame:PartInnerOuter, frame:Food, frame:Pattern"
311,a group of people are standing around a burning fire,"frame:Posture, frame:Aggregate, frame:Event, frame:People, frame:ChangePosture, frame:Placing, frame:Organization, frame:BeingLocated"
314,a man with a bruised face and a black shirt,"frame:Color, frame:People, frame:ObservableBodyParts, frame:CauseHarm, frame:Clothing, frame:FacialExpression"
317,there is a red sign with a picture of a car and a truck,"frame:Sign, frame:Color, frame:Sensation, frame:OpticalImage, frame:Vehicle"
318,there is a man standing on a fence with a dog,"frame:Posture, frame:People, frame:Protecting, frame:Animals, frame:ChangePosture, frame:Placing, frame:BeingLocated"
319,surfer standing on the beach with his surfboard under a stormy sky,"frame:Locale, frame:Weather, frame:NaturalFeatures, frame:Motion, frame:OccupyRank"
321,someone holding a cigarette and a cigarette lighter in their hand,"frame:Intoxicants, frame:SettingFire, frame:Possession, frame:Containing, frame:ObservableBodyParts, frame:Inclusion, frame:Manipulation"
322,a woman in a bikini and goggles in the water with sharks,"frame:Clothing, frame:Substance, frame:People, frame:Accoutrements"
326,arafed poster of a man holding a gun in front of a brick wall,"frame:Possession, frame:Containing, frame:PartOrientational, frame:People, frame:Attaching, frame:ArchitecturalPart, frame:Inclusion, frame:Manipulation, frame:Weapon"
329,a poster with a number of letters and numbers on it,"frame:Quantity, frame:Attaching"
331,two pictures of a field with a dirt road and a sign that says est - ion,"frame:TextCreation, frame:Sign, frame:Communication, frame:Statement, frame:Roadways, frame:Request, frame:CauseChange, frame:Substance"
332,arafed man in the ocean with a kite attached to his back,"frame:People, frame:ObservableBodyParts, frame:NaturalFeatures"
334,a close up of a car with its hood open and the hood open,"frame:Openness, frame:PeopleByMorality, frame:Vehicle"
338,arafed clock with a reflection of a man in it,"frame:People, frame:Dimension"
339,a silhouette of a woman running with a hat and a hair dryer,"frame:BecomingDry, frame:Accoutrements, frame:UndergoChange, frame:OpticalImage, frame:HairConfiguration, frame:ObservableBodyParts, frame:People, frame:SelfMotion, frame:CauseToBeDry"
340,a close up of a hand holding a green octopus with a red background,"frame:Color, frame:ObservableBodyParts"
342,a couple of bottles of dove body wash sitting next to each other,"frame:Posture, frame:Filling, frame:PartWhole, frame:ChangePosture, frame:Placing, frame:PersonalRelationship, frame:BeingLocated"
343,a magazine with a boy reading a book with a shoe on top of it,"frame:Posture, frame:Text, frame:PartOrderedSegments, frame:Clothing, frame:Supply, frame:BeingLocated"
344,cartoon of a woman falling off a bike while riding a bike,"frame:CreateRepresentation, frame:Travel, frame:MotionDirectional, frame:WorkingOn, frame:People, frame:Vehicle, frame:OperateVehicle, frame:LaborProduct, frame:RideVehicle"
346,a painting of a woman laying on a bench with a sunbath,"frame:CauseToPerceive, frame:People, frame:Placing"
348,a close up of a man with a bandage on his face,"frame:People, frame:FacialExpression, frame:ObservableBodyParts"
349,arafed scorpion with a red tail and a black body,"frame:Color, frame:ObservableBodyParts, frame:PartWhole"
351,arafed truck with a load of lumber on the back of it,"frame:ObservableBodyParts, frame:Vehicle, frame:Filling, frame:Placing"
353,a man leaning against a fence with flowers in his hand,"frame:Posture, frame:MotionDirectional, frame:PathShape, frame:People, frame:Protecting, frame:ObservableBodyParts, frame:ChangePosture"
355,arafed turtle being fed by a person with a hair dryer,"frame:BecomingDry, frame:UndergoChange, frame:Ingestion, frame:People, frame:ObservableBodyParts, frame:CauseToBeDry, frame:Giving, frame:Capacity, frame:HairConfiguration"
356,arafed image of a car driving on a road with a snow plow,"frame:Gizmo, frame:CauseMotion, frame:Roadways, frame:Bringing, frame:Awareness, frame:Precipitation, frame:SelfMotion, frame:Vehicle, frame:OperateVehicle, frame:RideVehicle"
359,a man with a fox head and a black background,"frame:Color, frame:People, frame:ObservableBodyParts"
360,"arafed man in a black shirt leaning on a table with a sign that says, if","frame:TextCreation, frame:Posture, frame:Sign, frame:Communication, frame:Statement, frame:MotionDirectional, frame:Color, frame:PathShape, frame:Request, frame:People, frame:Clothing, frame:ChangePosture"
365,a close up of a person holding a cigarette in their hand,"frame:Intoxicants, frame:Possession, frame:Containing, frame:People, frame:ObservableBodyParts, frame:Inclusion, frame:Manipulation"
370,a cartoon of a man with a devil head and a devil tail on a skateboard,"frame:WorkingOn, frame:People, frame:ObservableBodyParts, frame:OperateVehicle, frame:LaborProduct, frame:CreateRepresentation, frame:ReligiousBelief"
374,a picture taken from a canadian postcard with a tire and a canadian flag,"frame:HaveAsRequirement, frame:Communication, frame:Filling, frame:TakingTime, frame:Adorning, frame:Sensation, frame:Gesture, frame:OpticalImage, frame:RequiredEvent, frame:Needing"
375,a video game with a video of a waterfall and a waterfall,"frame:IntentionallyAct, frame:NaturalFeatures"
382,a group of cigarettes with the words no smoking written on them,"frame:Aggregate, frame:TextCreation, frame:SpellingAndPronouncing, frame:Organization"
383,arafed man holding a drum in a parking garage with a woman,"frame:Possession, frame:Containing, frame:People, frame:Inclusion, frame:Manipulation, frame:NoiseMakers, frame:Buildings"
385,a close up of a cigarette with a cigarette stick on it,"frame:Gizmo, frame:Intoxicants"
392,araffe taking a picture of a woman laying on a blanket in the grass,"frame:Cotheme, frame:Filling, frame:Adorning, frame:Sensation, frame:ChangeOfLeadership, frame:Conquering, frame:OpticalImage, frame:EarningsAndLosses, frame:People, frame:Bringing, frame:Getting, frame:Removing, frame:Placing, frame:Taking, frame:ChangeOfQuantityOfPossession"
393,there is a truck and a car parked in a parking lot,"frame:Quantity, frame:Aggregate, frame:Vehicle, frame:Placing"
395,a poster of a cactus with a man's face and arms,"frame:People, frame:FacialExpression, frame:Attaching, frame:ObservableBodyParts"
396,araffes with a man and a lion in a field,frame:People
400,two pictures of a scorpion on a rock with a black tail,"frame:Color, frame:ObservableBodyParts, frame:CauseHarm"
401,a close up of a syll with a needle sticking out of it,"frame:Gizmo, frame:CauseMotion, frame:InchoativeAttaching, frame:Attaching, frame:BeingAttached, frame:Placing"
403,there is a poster with a motorcycle and a bottle of beer,"frame:Food, frame:Attaching, frame:OperateVehicle, frame:MeasureVolume, frame:Containers, frame:RideVehicle"
405,arafed man in a bathing suit standing on a toilet in a bathroom,"frame:Posture, frame:BeingLocated, frame:BuildingSubparts, frame:People, frame:Clothing, frame:Placing, frame:ChangePosture, frame:Buildings"
406,a close up of a cloud with a city in the background,"frame:PoliticalLocales, frame:LocaleByUse"
407,a poster of a naked woman with a bunch of fake hair,"frame:Aggregate, frame:Artificiality, frame:Wearing, frame:People, frame:ObservableBodyParts, frame:Attaching, frame:HairConfiguration"
409,a cartoon image of a man and a gorilla in a desert,"frame:BiologicalArea, frame:WorkingOn, frame:People, frame:Awareness, frame:LaborProduct, frame:CreateRepresentation"
410,"an advertisement for north america group agate, a company that sells roofing materials","frame:Aggregate, frame:CommerceSell, frame:PartOrientational, frame:Businesses, frame:Organization"
411,a close up of a sign with a bee on it,frame:Sign
412,a white poster with a picture of a volkswagen logo and words,"frame:OpticalImage, frame:Color, frame:Attaching, frame:Sensation"
415,arafed man jumping over a stool in a room,"frame:BuildingSubparts, frame:People, frame:ChangePositionOnAScale"
418,a close up of a cigarette with the word downloading cancer on it,"frame:SimpleName, frame:MedicalConditions, frame:Intoxicants"
419,a woman holding a picture of a man and a woman,"frame:OpticalImage, frame:People, frame:Sensation"
421,a poster with a heart and a key on it,"frame:Gizmo, frame:Opinion, frame:Awareness, frame:Attaching, frame:Damaging"
423,barbed wire fence with water droplets on top of it,"frame:Posture, frame:Protecting, frame:Connectors, frame:Supply, frame:Substance, frame:BeingLocated"
425,arafed chicken in colorado with a message on it,"frame:Food, frame:PoliticalLocales"
431,chewbac playing baseball isn't normal but on meth is,"frame:Intoxicants, frame:Typicality"
432,a picture taken from a movie showing a man in a prison,"frame:HaveAsRequirement, frame:Creating, frame:TakingTime, frame:IntentionallyCreate, frame:BehindTheScenes, frame:CauseToPerceive, frame:RequiredEvent, frame:Needing, frame:People, frame:Prison"
435,a close up of a smiley face with a smile drawn on it,"frame:CreateRepresentation, frame:IntentionallyCreate, frame:CreatePhysicalArtwork, frame:Motion, frame:ObservableBodyParts, frame:FacialExpression"
436,a close up of a white and blue elephant on a pink background,frame:Color
437,a black and white photo of a rocket launching into the air,"frame:Color, frame:Substance, frame:Representing, frame:Vehicle"
439,a woman in a red dress is playing with a white tiger,"frame:Competition, frame:Color, frame:People, frame:Clothing"
441,there is a can of soda next to a garbage can,"frame:Capability, frame:Preserving, frame:IntentionallyCreate, frame:CauseHarm, frame:MeasureVolume, frame:Containers"
442,there is a mouse that is walking past a bunch of cheese,"frame:Cotheme, frame:Food, frame:Aggregate, frame:SelfMotion"
443,a black and white photo of a cigarette with smoke coming out of it,"frame:Emitting, frame:Intoxicants, frame:Color, frame:Arriving, frame:Representing"
445,"a poster for the environmental campaign, the water is in the hourglass","frame:Substance, frame:Attaching"
447,"a poster for the movie, the jungle","frame:BehindTheScenes, frame:IntentionallyCreate, frame:Attaching, frame:Creating"
449,arafed advertisement of a man and woman smoking cigarettes,frame:People
450,a red marker is circled on a page of a website,"frame:Color, frame:Sign"
452,volkswagen print advert featuring a car and a pig balloon,"frame:OperateVehicle, frame:Animals, frame:Vehicle"
453,a picture of a car is shown in an advertisement for the new kia,"frame:Familiarity, frame:Sensation, frame:CauseToPerceive, frame:OpticalImage, frame:Vehicle"
456,"a woman with a cigarette in her hand saying, because smoking i've had about 20 amp","frame:TextCreation, frame:Communication, frame:Intoxicants, frame:Statement, frame:Ingestion, frame:Request, frame:People, frame:ObservableBodyParts, frame:CardinalNumbers"
459,a close up of a cell phone with a black background,"frame:Color, frame:Substance, frame:Contacting, frame:CommunicationMeans"
461,a man playing pool with a giant alien figure,"frame:Competition, frame:Dimension, frame:People, frame:Size, frame:PeopleByOrigin"
463,there is a sign that says preserve the world preserve the world,"frame:Preserving, frame:Locale, frame:Sign, frame:IntentionallyCreate, frame:Possession, frame:ActivityOngoing"
464,a close up of a large alligator laying in a puddle of water,"frame:NaturalFeatures, frame:Dimension, frame:Size, frame:Substance, frame:Placing"
467,twisted limbs ii - fear of the dark,"frame:Fear, frame:CardinalNumbers"
469,a woman with a snake on her shoulder in front of a black background,"frame:Color, frame:PartOrientational, frame:ObservableBodyParts, frame:People"
474,a close up of a bird with a long neck and a long tail,"frame:ObservableBodyParts, frame:DurationAttribute"
475,there is a clock with a sculpture of a bear on it,"frame:PhysicalArtworks, frame:Dimension"
476,arafed image of a car mirror with a picture of a man in a rain storm,"frame:Weather, frame:Sensation, frame:OpticalImage, frame:People, frame:Awareness, frame:Vehicle, frame:Precipitation"
478,there is a baby reaching for a pan in the kitchen,"frame:Arriving, frame:PathShape, frame:BuildingSubparts, frame:ChangePositionOnAScale, frame:PeopleByAge, frame:Giving, frame:Passing"
479,arafed woman in a bikini with a dog in a field,"frame:Clothing, frame:People, frame:Animals"
480,arafed image of a man jumping over a street light,"frame:LocationOfLight, frame:Roadways, frame:People, frame:Awareness, frame:SelfMotion, frame:Traversing"
481,a blue and white advertisement with a spider and a spider eye,"frame:Color, frame:ObservableBodyParts"
482,a poster with a hand holding a snake's mouth with its teeth,"frame:ShapedPart, frame:ObservableBodyParts, frame:Attaching"
484,there is a snowboard with a plant sticking out of it,"frame:CauseMotion, frame:InchoativeAttaching, frame:Attaching, frame:BeingAttached, frame:LocaleByUse, frame:Placing"
485,a group of women in saris and dresses are posing for a picture,"frame:Aggregate, frame:PosingAs, frame:Sensation, frame:OpticalImage, frame:Feigning, frame:Organization"
486,nike print ad featuring a snake and a shoe,frame:Clothing
487,a picture taken from a movie showing a man in a prison,"frame:HaveAsRequirement, frame:Creating, frame:TakingTime, frame:IntentionallyCreate, frame:BehindTheScenes, frame:CauseToPerceive, frame:RequiredEvent, frame:Needing, frame:People, frame:Prison"
488,two pictures of a couple of people that are on their cell phones,"frame:Substance, frame:People, frame:PersonalRelationship"
490,a close up of two cigarettes with smoke coming out of them,"frame:Arriving, frame:Emitting"
491,a woman with a cigarette in her mouth and a cigarette in her mouth,"frame:ShapedPart, frame:People, frame:ObservableBodyParts, frame:Intoxicants"
493,a close up of a sign with sauce on it that says saw,"frame:TextCreation, frame:Sign, frame:Communication, frame:Statement, frame:Food, frame:Request"
494,a poster for the movie stop,"frame:Creating, frame:IntentionallyCreate, frame:BehindTheScenes, frame:Attaching, frame:TemporaryStay"
497,a close up of a burnt piece of paper with a picture of a man,"frame:Ingredients, frame:Filling, frame:Creating, frame:Sensation, frame:OpticalImage, frame:People, frame:PartWhole, frame:Substance, frame:Building"
501,a man sitting in a shopping cart in a parking lot at night,"frame:Shopping, frame:Posture, frame:Aggregate, frame:CalendricUnit, frame:Quantity, frame:People, frame:Bringing, frame:ChangePosture, frame:Placing, frame:BeingLocated"
503,arafed man sitting on the ground with a knife in his mouth,"frame:Posture, frame:NaturalFeatures, frame:ShapedPart, frame:People, frame:ObservableBodyParts, frame:ChangePosture, frame:Placing, frame:Weapon, frame:BeingLocated"
504,a close up of a bottle of absolut frankenstein on a table,"frame:MeasureVolume, frame:Containers"
505,arafed image of a group of men and women posing for a picture,"frame:Aggregate, frame:PosingAs, frame:Sensation, frame:Feigning, frame:OpticalImage, frame:Awareness, frame:Organization"
506,a woman driving a car with a cell phone in her hand,"frame:CauseMotion, frame:CommunicationMeans, frame:Contacting, frame:People, frame:Bringing, frame:ObservableBodyParts, frame:Vehicle, frame:SelfMotion, frame:OperateVehicle, frame:Substance, frame:RideVehicle"
508,a close up of a laptop with a person on it,frame:People
510,arafed woman smoking a cigarette with a red background,"frame:IngestSubstance, frame:People, frame:Color, frame:Intoxicants"
512,arafed for me - the pepsi advertises the pepsi brand,"frame:OperateVehicle, frame:Bringing"
516,a black and white advertisement for a chocolate bar with cartoon characters,"frame:Color, frame:WorkingOn, frame:LaborProduct, frame:CreateRepresentation, frame:Buildings"
520,arafed image of a car that has been smashed into pieces,"frame:CauseToFragment, frame:Awareness, frame:Vehicle, frame:Impact, frame:CauseHarm"
522,smoke coming out of a lung with a cigarette in the middle,"frame:PartInnerOuter, frame:Arriving, frame:Emitting, frame:Intoxicants"
526,arafed man holding a fishing rod in front of a boat,"frame:Gizmo, frame:Possession, frame:Containing, frame:PartOrientational, frame:People, frame:Vehicle, frame:Inclusion, frame:Manipulation"
528,a close up of a person on a surfboard in the water,"frame:People, frame:Substance"
530,arafed water tower with a cow statue on top of it,"frame:BuildingSubparts, frame:PartOrientational, frame:Animals, frame:PhysicalArtworks, frame:Substance, frame:Buildings"
533,a man in a suit standing next to a silver car,"frame:Posture, frame:People, frame:Vehicle, frame:Clothing, frame:Placing, frame:ChangePosture, frame:BeingLocated"
535,a close up of a bottle of hennessy next to glasses of wine,"frame:MeasureVolume, frame:Containers, frame:RelativeTime, frame:Intoxicants"
536,a black and white photo of a woman in a bathing suit,"frame:Color, frame:People, frame:Representing, frame:Clothing"
537,arafed advertisement of a red car in a parking lot,"frame:Quantity, frame:Color, frame:Aggregate, frame:Vehicle"
540,a close up of a spiral shaped object with a snake on it,frame:CauseChange
541,a black and white photo of a radio with a sign on it,"frame:Color, frame:Sign, frame:Representing"
542,a close up of a white volkswagen advertisement with a blue sticker,frame:Color
543,a close up of a man in a boxing ring with a rope,"frame:Connectors, frame:People"
544,a close up of a lizard with a lizard like face and a plant in a glass container,"frame:ObservableBodyParts, frame:Containers, frame:Substance, frame:FacialExpression, frame:LocaleByUse"
545,a man standing in the water with a rainbow in the background,"frame:People, frame:Substance, frame:OccupyRank"
550,a close up of a person standing next to a burrito,"frame:Posture, frame:People, frame:ChangePosture, frame:Placing, frame:BeingLocated"
551,there is a teddy bear sitting on the ground in front of a building,"frame:Posture, frame:BeingLocated, frame:NaturalFeatures, frame:PartOrientational, frame:ChangePosture, frame:Placing, frame:Buildings"
553,a close up of a black and white photo of a mouth with teeth,"frame:ShapedPart, frame:Color, frame:ObservableBodyParts, frame:Representing"
556,a close up of a boat on a beach near the ocean,"frame:Vehicle, frame:NaturalFeatures"
559,a cartoon of a car driving down a street with a man on the side,"frame:CreateRepresentation, frame:CauseMotion, frame:WorkingOn, frame:People, frame:Bringing, frame:Willingness, frame:Vehicle, frame:SelfMotion, frame:Roadways, frame:OperateVehicle, frame:LaborProduct, frame:RideVehicle"
560,a cartoon man holding a chainsaw in a room with a sign,"frame:Sign, frame:Possession, frame:Containing, frame:WorkingOn, frame:BuildingSubparts, frame:People, frame:Inclusion, frame:Manipulation, frame:LaborProduct, frame:CreateRepresentation"
562,a man riding a lawn mower in front of a white picket fence,"frame:Closure, frame:Travel, frame:Color, frame:InchoativeAttaching, frame:PartOrientational, frame:Protecting, frame:People, frame:Attaching, frame:OperateVehicle, frame:RideVehicle"
563,arafed man on a skateboard in a living room with a magazine,"frame:OperateVehicle, frame:BuildingSubparts, frame:People, frame:Text"
564,arafed baby hanging from a rope with a sign saying dareds are born loving fear,"frame:ExperiencerFocus, frame:TextCreation, frame:Sign, frame:Connectors, frame:Communication, frame:Statement, frame:Creating, frame:IntentionallyCreate, frame:CauseToStart, frame:Birth, frame:PeopleByAge, frame:Fear, frame:Request"
566,arafed image of a man standing on a bridge with a sign in the background,"frame:Posture, frame:Sign, frame:Roadways, frame:People, frame:Awareness, frame:ChangePosture, frame:Placing, frame:BeingLocated"
568,a bottle of beer with a small amount of water on it,"frame:Dimension, frame:AmountingTo, frame:Food, frame:Size, frame:Containers, frame:MeasureVolume, frame:Substance"
570,a white horse standing next to a car with a white horse on it,"frame:Posture, frame:Color, frame:Vehicle, frame:ChangePosture, frame:Assistance, frame:Placing, frame:BeingLocated"
571,there is a picture of a picture of a vegetable elephant,"frame:OpticalImage, frame:Sensation"
572,a large gorilla standing in front of a red house with a red roof,"frame:Dimension, frame:Color, frame:ArchitecturalPart, frame:PartOrientational, frame:Size, frame:OccupyRank, frame:Buildings"
574,there are two people sitting on the ground watching a fire,"frame:Cotheme, frame:Posture, frame:NaturalFeatures, frame:BeingAwake, frame:Event, frame:Seeking, frame:People, frame:PerceptionActive, frame:Placing, frame:ChangePosture, frame:BeingLocated"
576,a poster for a movie with a car and a woman driving in a car,"frame:CauseMotion, frame:Creating, frame:IntentionallyCreate, frame:BehindTheScenes, frame:People, frame:Bringing, frame:Vehicle, frame:Attaching, frame:SelfMotion, frame:OperateVehicle, frame:RideVehicle"
577,a poster with a cigarette hanging from a hook with a cigarette in it,"frame:Intoxicants, frame:Attaching"
580,a close up of a child standing in a room with a light drawing on the wall,"frame:Dimension, frame:ArchitecturalPart, frame:BuildingSubparts, frame:PeopleByAge, frame:OccupyRank"
581,a poster with a cigarette shaped like lungs and the words smoking causes lung cancer,"frame:Intoxicants, frame:Reshaping, frame:IntentionallyCreate, frame:MedicalConditions, frame:Attaching, frame:Causation, frame:ManipulateIntoShape"
583,a close up of a car with a bottle of liquid on it,"frame:MeasureVolume, frame:Substance, frame:Vehicle, frame:Containers"
584,a poster with a skeleton and a car in the background,"frame:Vehicle, frame:Attaching"
588,"a poster for the movie, the leftover spaghettitti","frame:Creating, frame:IntentionallyCreate, frame:BehindTheScenes, frame:Attaching, frame:Remainder"
589,a close up of a cigarette with a cigarette lighter in the middle,"frame:PartInnerOuter, frame:SettingFire, frame:Intoxicants"
590,a close up of a crocodile's mouth with its mouth open,"frame:ShapedPart, frame:ObservableBodyParts"
592,a poster for the movie alien city,"frame:PeopleByOrigin, frame:Creating, frame:IntentionallyCreate, frame:BehindTheScenes, frame:Attaching, frame:PoliticalLocales, frame:LocaleByUse"
597,a close up of a hedgehog in a bag with goldfish inside,"frame:PartInnerOuter, frame:MeasureVolume, frame:Containers"
599,a picture taken from a magazine with a man pulling a tank,"frame:HaveAsRequirement, frame:CauseMotion, frame:TakingTime, frame:Text, frame:Sensation, frame:OpticalImage, frame:RequiredEvent, frame:Needing, frame:Vehicle, frame:People, frame:Manipulation"
601,a poster of a man driving a car with a gorilla on the dashboard,"frame:CauseMotion, frame:People, frame:Bringing, frame:Vehicle, frame:Attaching, frame:SelfMotion, frame:OperateVehicle, frame:RideVehicle"
603,"several people holding signs that say, you should end in the wrong order",
605,arafed man and child in a car with tools in front of them,
609,a close up of a tall tower with a lot of moss on it,
611,a close up of two cars with the words don't drink and drive,
612,arafed man in a mask holding a sign that says you see better when you're,"frame:Desirability, frame:PerceptionExperience, frame:TextCreation, frame:Sign, frame:Communication, frame:Accoutrements, frame:Statement, frame:People, frame:Request"
621,araff is a man with a lot of bees on his hands,"frame:Quantity, frame:People, frame:Aggregate"
622,a close up of a syet with a can of mountain dew next to it,"frame:MeasureVolume, frame:Containers, frame:NaturalFeatures"
623,arafed car on the street with a bicycle on the side of it,"frame:Roadways, frame:Vehicle"
625,a person pointing at a sign that says texting while driving,"frame:TextCreation, frame:Sign, frame:CauseMotion, frame:Communication, frame:Statement, frame:Evidence, frame:CauseToPerceive, frame:People, frame:Request, frame:Bringing, frame:SelfMotion, frame:OperateVehicle, frame:Adducing, frame:RideVehicle"
626,arafed image of a man standing on a porch with a car,"frame:Posture, frame:BuildingSubparts, frame:People, frame:Awareness, frame:Vehicle, frame:ChangePosture, frame:Placing, frame:BeingLocated"
627,two pictures of a drawing of a man in a bath tub and a woman in a bath tub,"frame:People, frame:BuildingSubparts, frame:Grooming"
634,there is a poster with a picture of a roasting chicken on a plate,"frame:ApplyHeat, frame:Sensation, frame:OpticalImage, frame:Food, frame:Attaching"
637,a close up of a boat on a body of water with ice,"frame:CauseTemperatureChange, frame:Vehicle, frame:PartWhole, frame:InchoativeChangeOfTemperature, frame:Substance"
638,a close up of a person on a ground with a turtle,"frame:People, frame:NaturalFeatures"
640,a cartoon picture of a man with a hat and a belt,"frame:Accoutrements, frame:Sensation, frame:OpticalImage, frame:WorkingOn, frame:People, frame:LaborProduct, frame:CreateRepresentation"
642,dominos with a picture of a man on them sitting on a table,"frame:Posture, frame:Sensation, frame:OpticalImage, frame:People, frame:ChangePosture, frame:Placing, frame:BeingLocated"
644,a close up of a clown doll in a box with a knife,"frame:MeasureVolume, frame:Containers, frame:Weapon"
645,arafed bus on a street with a bridge over it,"frame:Roadways, frame:Vehicle"
648,a close up of a plate with a bowl of food on it,"frame:Food, frame:MeasureVolume"
651,there is a man holding a bottle of beer and a knife,"frame:Food, frame:People, frame:MeasureVolume, frame:Containers, frame:Weapon"
654,arafed baby in diaper holding a drink and a lime,"frame:Clothing, frame:Ingestion, frame:PeopleByAge"
656,three asian women in underwear posing for a picture in a field,"frame:PosingAs, frame:Sensation, frame:OpticalImage, frame:Feigning, frame:Clothing"
657,arafed image of a car with a large wing on it,"frame:Dimension, frame:Awareness, frame:Vehicle, frame:ObservableBodyParts, frame:Size"
658,a woman standing next to a fire with a burning refrigerator,"frame:Posture, frame:Event, frame:CauseTemperatureChange, frame:People, frame:InchoativeChangeOfTemperature, frame:ChangePosture, frame:Placing, frame:BeingLocated"
659,a close up of a person shaving a carrot with a razor,"frame:Motion, frame:Food, frame:People, frame:Removing, frame:Grooming"
668,araff print advert featuring two men walking up stairs,"frame:Cotheme, frame:SelfMotion"
670,a close up of a sign on a train with a picture of a man and a child,"frame:Sign, frame:Sensation, frame:OpticalImage, frame:People, frame:Vehicle, frame:PeopleByAge"
