image_id,image description,frames,Emotions,Values
317,there is a red sign with a picture of a car and a truck,"frame:Vehicle, frame:Sign, frame:Sensation, frame:OpticalImage, frame:Color",,
318,there is a man standing on a fence with a dog,"frame:ChangePosture, frame:People, frame:BeingLocated, frame:Posture, frame:Animals, frame:Placing, frame:Protecting",,"mft:Care, bhv:Security"
319,surfer standing on the beach with his surfboard under a stormy sky,"frame:Weather, frame:Motion, frame:Locale, frame:OccupyRank, frame:NaturalFeatures",,"mft:Authority, folk:Consideration"
321,someone holding a cigarette and a cigarette lighter in their hand,"frame:Intoxicants, frame:ObservableBodyParts, frame:Inclusion, frame:Possession, frame:SettingFire, frame:Manipulation, frame:Containing",,folk:Control
322,a woman in a bikini and goggles in the water with sharks,"frame:Substance, frame:People, frame:Clothing, frame:Accoutrements",,
326,arafed poster of a man holding a gun in front of a brick wall,"frame:Attaching, frame:ArchitecturalPart, frame:Inclusion, frame:Weapon, frame:Possession, frame:People, frame:Manipulation, frame:PartOrientational, frame:Containing",,"mft:Care, folk:Control, mft:Harm, bhv:Security"
329,a poster with a number of letters and numbers on it,"frame:Attaching, frame:Quantity",,folk:Independence
331,two pictures of a field with a dirt road and a sign that says est - ion,"frame:Sign, frame:Request, frame:TextCreation, frame:Communication, frame:Statement, frame:Roadways, frame:Substance, frame:CauseChange",,
332,arafed man in the ocean with a kite attached to his back,"frame:People, frame:ObservableBodyParts, frame:NaturalFeatures",,
334,a close up of a car with its hood open and the hood open,"frame:Vehicle, frame:PeopleByMorality, frame:Openness",,mft:Harm
338,arafed clock with a reflection of a man in it,"frame:People, frame:Dimension",,
339,a silhouette of a woman running with a hat and a hair dryer,"frame:UndergoChange, frame:ObservableBodyParts, frame:SelfMotion, frame:BecomingDry, frame:CauseToBeDry, frame:Accoutrements, frame:People, frame:OpticalImage, frame:HairConfiguration",,
340,a close up of a hand holding a green octopus with a red background,"frame:Color, frame:ObservableBodyParts",,
342,a couple of bottles of dove body wash sitting next to each other,"frame:PartWhole, frame:ChangePosture, frame:BeingLocated, frame:Posture, frame:Filling, frame:Placing, frame:PersonalRelationship",,"folk:Association, mft:Loyalty"
343,a magazine with a boy reading a book with a shoe on top of it,"frame:Text, frame:Clothing, frame:PartOrderedSegments, frame:BeingLocated, frame:Supply, frame:Posture",,
344,cartoon of a woman falling off a bike while riding a bike,"frame:Vehicle, frame:CreateRepresentation, frame:LaborProduct, frame:People, frame:Travel, frame:MotionDirectional, frame:WorkingOn, frame:RideVehicle, frame:OperateVehicle",,
346,a painting of a woman laying on a bench with a sunbath,"frame:CauseToPerceive, frame:People, frame:Placing",,
348,a close up of a man with a bandage on his face,"frame:People, frame:ObservableBodyParts, frame:FacialExpression",,
349,arafed scorpion with a red tail and a black body,"frame:Color, frame:PartWhole, frame:ObservableBodyParts",,mft:Harm
351,arafed truck with a load of lumber on the back of it,"frame:Filling, frame:Placing, frame:Vehicle, frame:ObservableBodyParts",,mft:Harm
353,a man leaning against a fence with flowers in his hand,"frame:ObservableBodyParts, frame:ChangePosture, frame:People, frame:Posture, frame:PathShape, frame:MotionDirectional, frame:Protecting",,"mft:Care, bhv:Security"
355,arafed turtle being fed by a person with a hair dryer,"frame:UndergoChange, frame:ObservableBodyParts, frame:BecomingDry, frame:CauseToBeDry, frame:People, frame:Giving, frame:Ingestion, frame:Capacity, frame:HairConfiguration",,"mft:Care, bhv:Benevolence, folk:Giving, folk:Helping"
356,arafed image of a car driving on a road with a snow plow,"frame:Vehicle, frame:Awareness, frame:SelfMotion, frame:CauseMotion, frame:Precipitation, frame:RideVehicle, frame:Roadways, frame:Bringing, frame:Gizmo, frame:OperateVehicle",,folk:Consciousness
359,a man with a fox head and a black background,"frame:Color, frame:People, frame:ObservableBodyParts",,
360,"arafed man in a black shirt leaning on a table with a sign that says, if","frame:Clothing, frame:Sign, frame:Request, frame:ChangePosture, frame:People, frame:TextCreation, frame:Communication, frame:Statement, frame:Posture, frame:PathShape, frame:MotionDirectional, frame:Color",,
365,a close up of a person holding a cigarette in their hand,"frame:Intoxicants, frame:ObservableBodyParts, frame:Inclusion, frame:Possession, frame:People, frame:Manipulation, frame:Containing",,folk:Control
370,a cartoon of a man with a devil head and a devil tail on a skateboard,"frame:ObservableBodyParts, frame:CreateRepresentation, frame:LaborProduct, frame:People, frame:ReligiousBelief, frame:WorkingOn, frame:OperateVehicle",,"mft:Harm, folk:Belief, mft:Sanctity"
374,a picture taken from a canadian postcard with a tire and a canadian flag,"frame:Needing, frame:Adorning, frame:Communication, frame:TakingTime, frame:Sensation, frame:HaveAsRequirement, frame:OpticalImage, frame:Gesture, frame:Filling, frame:RequiredEvent",,
375,a video game with a video of a waterfall and a waterfall,"frame:IntentionallyAct, frame:NaturalFeatures",,
382,a group of cigarettes with the words no smoking written on them,"frame:TextCreation, frame:Aggregate, frame:SpellingAndPronouncing, frame:Organization",,
383,arafed man holding a drum in a parking garage with a woman,"frame:NoiseMakers, frame:Buildings, frame:Inclusion, frame:Possession, frame:People, frame:Manipulation, frame:Containing",,folk:Control
385,a close up of a cigarette with a cigarette stick on it,"frame:Intoxicants, frame:Gizmo",,
392,araffe taking a picture of a woman laying on a blanket in the grass,"frame:Removing, frame:Conquering, frame:Bringing, frame:Cotheme, frame:Taking, frame:People, frame:Adorning, frame:Sensation, frame:ChangeOfLeadership, frame:Getting, frame:OpticalImage, frame:EarningsAndLosses, frame:Filling, frame:Placing, frame:ChangeOfQuantityOfPossession",,"mft:Care, folk:Leadership, bhv:Benevolence, bhv:Power, folk:Helping, mft:Authority"
393,there is a truck and a car parked in a parking lot,"frame:Vehicle, frame:Placing, frame:Aggregate, frame:Quantity",,
395,a poster of a cactus with a man's face and arms,"frame:People, frame:Attaching, frame:ObservableBodyParts, frame:FacialExpression",,
396,araffes with a man and a lion in a field,frame:People,,
400,two pictures of a scorpion on a rock with a black tail,"frame:CauseHarm, frame:Color, frame:ObservableBodyParts",,mft:Harm
401,a close up of a syll with a needle sticking out of it,"frame:Attaching, frame:CauseMotion, frame:Placing, frame:BeingAttached, frame:Gizmo, frame:InchoativeAttaching",,
403,there is a poster with a motorcycle and a bottle of beer,"frame:MeasureVolume, frame:Attaching, frame:Food, frame:Containers, frame:RideVehicle, frame:OperateVehicle",,
405,arafed man in a bathing suit standing on a toilet in a bathroom,"frame:Buildings, frame:Clothing, frame:ChangePosture, frame:People, frame:BeingLocated, frame:Posture, frame:BuildingSubparts, frame:Placing",,
406,a close up of a cloud with a city in the background,"frame:LocaleByUse, frame:PoliticalLocales",,mft:Authority
407,a poster of a naked woman with a bunch of fake hair,"frame:Artificiality, frame:Attaching, frame:ObservableBodyParts, frame:Aggregate, frame:People, frame:Wearing, frame:HairConfiguration",,mft:Cheating
409,a cartoon image of a man and a gorilla in a desert,"frame:Awareness, frame:CreateRepresentation, frame:LaborProduct, frame:People, frame:BiologicalArea, frame:WorkingOn",,folk:Consciousness
410,"an advertisement for north america group agate, a company that sells roofing materials","frame:Businesses, frame:Aggregate, frame:PartOrientational, frame:CommerceSell, frame:Organization",,mft:Authority
411,a close up of a sign with a bee on it,frame:Sign,,
412,a white poster with a picture of a volkswagen logo and words,"frame:Sensation, frame:Attaching, frame:Color, frame:OpticalImage",,
415,arafed man jumping over a stool in a room,"frame:People, frame:ChangePositionOnAScale, frame:BuildingSubparts",,
418,a close up of a cigarette with the word downloading cancer on it,"frame:SimpleName, frame:Intoxicants, frame:MedicalConditions",,folk:BadHealth
419,a woman holding a picture of a man and a woman,"frame:Sensation, frame:People, frame:OpticalImage",,
421,a poster with a heart and a key on it,"frame:Attaching, frame:Awareness, frame:Opinion, frame:Damaging, frame:Gizmo",,"mft:Harm, folk:Consciousness"
423,barbed wire fence with water droplets on top of it,"frame:BeingLocated, frame:Protecting, frame:Supply, frame:Posture, frame:Connectors, frame:Substance",,"mft:Care, bhv:Security"
425,arafed chicken in colorado with a message on it,"frame:Food, frame:PoliticalLocales",,mft:Authority
431,chewbac playing baseball isn't normal but on meth is,"frame:Typicality, frame:Intoxicants",,
432,a picture taken from a movie showing a man in a prison,"frame:Needing, frame:Creating, frame:Prison, frame:BehindTheScenes, frame:People, frame:TakingTime, frame:CauseToPerceive, frame:HaveAsRequirement, frame:IntentionallyCreate, frame:RequiredEvent",,mft:Oppression
435,a close up of a smiley face with a smile drawn on it,"frame:ObservableBodyParts, frame:CreateRepresentation, frame:CreatePhysicalArtwork, frame:Motion, frame:FacialExpression, frame:IntentionallyCreate",,
436,a close up of a white and blue elephant on a pink background,frame:Color,,
437,a black and white photo of a rocket launching into the air,"frame:Vehicle, frame:Color, frame:Substance, frame:Representing",,
439,a woman in a red dress is playing with a white tiger,"frame:Competition, frame:People, frame:Color, frame:Clothing",,
441,there is a can of soda next to a garbage can,"frame:MeasureVolume, frame:CauseHarm, frame:Capability, frame:Containers, frame:IntentionallyCreate, frame:Preserving",,"mft:Harm, folk:Potential"
442,there is a mouse that is walking past a bunch of cheese,"frame:Food, frame:Aggregate, frame:Cotheme, frame:SelfMotion",,
443,a black and white photo of a cigarette with smoke coming out of it,"frame:Intoxicants, frame:Arriving, frame:Color, frame:Emitting, frame:Representing",,
445,"a poster for the environmental campaign, the water is in the hourglass","frame:Attaching, frame:Substance",,
447,"a poster for the movie, the jungle","frame:Attaching, frame:Creating, frame:IntentionallyCreate, frame:BehindTheScenes",,
449,arafed advertisement of a man and woman smoking cigarettes,frame:People,,
450,a red marker is circled on a page of a website,"frame:Color, frame:Sign",,
452,volkswagen print advert featuring a car and a pig balloon,"frame:Vehicle, frame:Animals, frame:OperateVehicle",,folk:Control
453,a picture of a car is shown in an advertisement for the new kia,"frame:Vehicle, frame:Familiarity, frame:CauseToPerceive, frame:Sensation, frame:OpticalImage",,folk:Experience
456,"a woman with a cigarette in her hand saying, because smoking i've had about 20 amp","frame:Intoxicants, frame:ObservableBodyParts, frame:Request, frame:People, frame:TextCreation, frame:Communication, frame:Statement, frame:CardinalNumbers, frame:Ingestion",,
459,a close up of a cell phone with a black background,"frame:Contacting, frame:Color, frame:Substance, frame:CommunicationMeans",,
461,a man playing pool with a giant alien figure,"frame:People, frame:PeopleByOrigin, frame:Competition, frame:Dimension, frame:Size",,mft:Authority
463,there is a sign that says preserve the world preserve the world,"frame:Sign, frame:ActivityOngoing, frame:Possession, frame:Locale, frame:IntentionallyCreate, frame:Preserving",,"folk:Perseverance, folk:Compliance, bhv:Conformity"
464,a close up of a large alligator laying in a puddle of water,"frame:Placing, frame:Dimension, frame:Substance, frame:Size, frame:NaturalFeatures",,
467,twisted limbs ii - fear of the dark,"frame:Fear, frame:CardinalNumbers",be:Fear,mft:Harm
469,a woman with a snake on her shoulder in front of a black background,"frame:Color, frame:People, frame:ObservableBodyParts, frame:PartOrientational",,"folk:Control, mft:Harm"
474,a close up of a bird with a long neck and a long tail,"frame:ObservableBodyParts, frame:DurationAttribute",,mft:Harm
475,there is a clock with a sculpture of a bear on it,"frame:Dimension, frame:PhysicalArtworks",,mft:Harm
476,arafed image of a car mirror with a picture of a man in a rain storm,"frame:Vehicle, frame:Awareness, frame:Weather, frame:People, frame:Precipitation, frame:Sensation, frame:OpticalImage",,folk:Consciousness
478,there is a baby reaching for a pan in the kitchen,"frame:Passing, frame:Arriving, frame:BuildingSubparts, frame:ChangePositionOnAScale, frame:Giving, frame:PeopleByAge, frame:PathShape",,"folk:Family, folk:Giving"
479,arafed woman in a bikini with a dog in a field,"frame:Animals, frame:People, frame:Clothing",,
480,arafed image of a man jumping over a street light,"frame:Awareness, frame:SelfMotion, frame:Traversing, frame:People, frame:LocationOfLight, frame:Roadways",,folk:Consciousness
481,a blue and white advertisement with a spider and a spider eye,"frame:Color, frame:ObservableBodyParts",,folk:Analysis
482,a poster with a hand holding a snake's mouth with its teeth,"frame:Attaching, frame:ObservableBodyParts, frame:ShapedPart",,folk:Control
484,there is a snowboard with a plant sticking out of it,"frame:Attaching, frame:LocaleByUse, frame:CauseMotion, frame:Placing, frame:BeingAttached, frame:InchoativeAttaching",,
485,a group of women in saris and dresses are posing for a picture,"frame:Feigning, frame:Aggregate, frame:PosingAs, frame:Sensation, frame:OpticalImage, frame:Organization",,mft:Cheating
486,nike print ad featuring a snake and a shoe,frame:Clothing,,
487,a picture taken from a movie showing a man in a prison,"frame:Needing, frame:Creating, frame:Prison, frame:BehindTheScenes, frame:People, frame:TakingTime, frame:CauseToPerceive, frame:HaveAsRequirement, frame:IntentionallyCreate, frame:RequiredEvent",,mft:Oppression
488,two pictures of a couple of people that are on their cell phones,"frame:People, frame:Substance, frame:PersonalRelationship",,"folk:Association, mft:Loyalty"
490,a close up of two cigarettes with smoke coming out of them,"frame:Arriving, frame:Emitting",,
491,a woman with a cigarette in her mouth and a cigarette in her mouth,"frame:People, frame:ObservableBodyParts, frame:Intoxicants, frame:ShapedPart",,folk:Control
493,a close up of a sign with sauce on it that says saw,"frame:Sign, frame:Request, frame:TextCreation, frame:Communication, frame:Food, frame:Statement",,
494,a poster for the movie stop,"frame:TemporaryStay, frame:Attaching, frame:Creating, frame:BehindTheScenes, frame:IntentionallyCreate",,
497,a close up of a burnt piece of paper with a picture of a man,"frame:Creating, frame:PartWhole, frame:Ingredients, frame:People, frame:Sensation, frame:OpticalImage, frame:Filling, frame:Substance, frame:Building",,
501,a man sitting in a shopping cart in a parking lot at night,"frame:Aggregate, frame:Bringing, frame:ChangePosture, frame:Shopping, frame:People, frame:BeingLocated, frame:Posture, frame:Quantity, frame:CalendricUnit, frame:Placing",,
503,arafed man sitting on the ground with a knife in his mouth,"frame:ObservableBodyParts, frame:Weapon, frame:ChangePosture, frame:People, frame:BeingLocated, frame:Posture, frame:ShapedPart, frame:Placing, frame:NaturalFeatures",,"folk:Control, mft:Harm"
504,a close up of a bottle of absolut frankenstein on a table,"frame:MeasureVolume, frame:Containers",,
505,arafed image of a group of men and women posing for a picture,"frame:Awareness, frame:Feigning, frame:Aggregate, frame:PosingAs, frame:Sensation, frame:OpticalImage, frame:Organization",,"folk:Consciousness, mft:Cheating"
506,a woman driving a car with a cell phone in her hand,"frame:Contacting, frame:Vehicle, frame:ObservableBodyParts, frame:SelfMotion, frame:CauseMotion, frame:People, frame:CommunicationMeans, frame:RideVehicle, frame:Bringing, frame:Substance, frame:OperateVehicle",,
508,a close up of a laptop with a person on it,frame:People,,
510,arafed woman smoking a cigarette with a red background,"frame:People, frame:Color, frame:Intoxicants, frame:IngestSubstance",,
512,arafed for me - the pepsi advertises the pepsi brand,"frame:Bringing, frame:OperateVehicle",,
516,a black and white advertisement for a chocolate bar with cartoon characters,"frame:Buildings, frame:CreateRepresentation, frame:WorkingOn, frame:LaborProduct, frame:Color",,
520,arafed image of a car that has been smashed into pieces,"frame:Vehicle, frame:Awareness, frame:Impact, frame:CauseHarm, frame:CauseToFragment",,"mft:Harm, folk:Consciousness"
522,smoke coming out of a lung with a cigarette in the middle,"frame:Intoxicants, frame:Arriving, frame:Emitting, frame:PartInnerOuter",,
526,arafed man holding a fishing rod in front of a boat,,,mft:Harm
528,a close up of a person on a surfboard in the water,,,
530,arafed water tower with a cow statue on top of it,,,
533,a man in a suit standing next to a silver car,,,
535,a close up of a bottle of hennessy next to glasses of wine,"frame:RelativeTime, frame:MeasureVolume, frame:Intoxicants, frame:Containers",,"mft:Care, bhv:Benevolence, folk:Helping"
536,a black and white photo of a woman in a bathing suit,"frame:People, frame:Color, frame:Clothing, frame:Representing",,
537,arafed advertisement of a red car in a parking lot,"frame:Vehicle, frame:Quantity, frame:Color, frame:Aggregate",,
540,a close up of a spiral shaped object with a snake on it,frame:CauseChange,,
541,a black and white photo of a radio with a sign on it,"frame:Color, frame:Sign, frame:Representing",,
542,a close up of a white volkswagen advertisement with a blue sticker,frame:Color,,
543,a close up of a man in a boxing ring with a rope,"frame:People, frame:Connectors",,folk:Control
544,a close up of a lizard with a lizard like face and a plant in a glass container,"frame:ObservableBodyParts, frame:LocaleByUse, frame:FacialExpression, frame:Containers, frame:Substance",,
545,a man standing in the water with a rainbow in the background,"frame:People, frame:OccupyRank, frame:Substance",,"mft:Authority, folk:Consideration"
550,a close up of a person standing next to a burrito,"frame:ChangePosture, frame:People, frame:BeingLocated, frame:Posture, frame:Placing",,
551,there is a teddy bear sitting on the ground in front of a building,"frame:Buildings, frame:ChangePosture, frame:BeingLocated, frame:Posture, frame:PartOrientational, frame:Placing, frame:NaturalFeatures",,mft:Harm
553,a close up of a black and white photo of a mouth with teeth,"frame:Color, frame:ShapedPart, frame:ObservableBodyParts, frame:Representing",,folk:Control
556,a close up of a boat on a beach near the ocean,"frame:Vehicle, frame:NaturalFeatures",,
559,a cartoon of a car driving down a street with a man on the side,"frame:Vehicle, frame:SelfMotion, frame:CreateRepresentation, frame:CauseMotion, frame:LaborProduct, frame:People, frame:Willingness, frame:Roadways, frame:Bringing, frame:WorkingOn, frame:RideVehicle, frame:OperateVehicle",,folk:Willingness
560,a cartoon man holding a chainsaw in a room with a sign,"frame:BuildingSubparts, frame:Inclusion, frame:Sign, frame:CreateRepresentation, frame:LaborProduct, frame:Possession, frame:People, frame:Manipulation, frame:Containing, frame:WorkingOn",,folk:Control
562,a man riding a lawn mower in front of a white picket fence,"frame:Attaching, frame:OperateVehicle, frame:People, frame:Travel, frame:Protecting, frame:PartOrientational, frame:Color, frame:RideVehicle, frame:Closure, frame:InchoativeAttaching",,"mft:Care, mft:Harm, bhv:Security"
563,arafed man on a skateboard in a living room with a magazine,"frame:Text, frame:People, frame:OperateVehicle, frame:BuildingSubparts",,
564,arafed baby hanging from a rope with a sign saying dareds are born loving fear,"frame:Fear, frame:Creating, frame:Sign, frame:Request, frame:PeopleByAge, frame:CauseToStart, frame:TextCreation, frame:Communication, frame:Birth, frame:Statement, frame:Connectors, frame:ExperiencerFocus, frame:IntentionallyCreate",be:Fear,"folk:Family, folk:Control, mft:Harm"
566,arafed image of a man standing on a bridge with a sign in the background,"frame:Awareness, frame:Sign, frame:ChangePosture, frame:People, frame:BeingLocated, frame:Posture, frame:Roadways, frame:Placing",,folk:Consciousness
568,a bottle of beer with a small amount of water on it,"frame:MeasureVolume, frame:AmountingTo, frame:Food, frame:Containers, frame:Dimension, frame:Substance, frame:Size",,
570,a white horse standing next to a car with a white horse on it,"frame:Vehicle, frame:ChangePosture, frame:BeingLocated, frame:Posture, frame:Assistance, frame:Placing, frame:Color",,"mft:Care, bhv:Benevolence, folk:Helping"
571,there is a picture of a picture of a vegetable elephant,"frame:Sensation, frame:OpticalImage",,
572,a large gorilla standing in front of a red house with a red roof,"frame:Buildings, frame:ArchitecturalPart, frame:OccupyRank, frame:PartOrientational, frame:Dimension, frame:Color, frame:Size",,"mft:Authority, mft:Harm, folk:Consideration"
574,there are two people sitting on the ground watching a fire,"frame:Event, frame:Cotheme, frame:Seeking, frame:ChangePosture, frame:People, frame:BeingLocated, frame:Posture, frame:PerceptionActive, frame:BeingAwake, frame:Placing, frame:NaturalFeatures",,folk:Analysis
576,a poster for a movie with a car and a woman driving in a car,"frame:Vehicle, frame:Attaching, frame:Creating, frame:SelfMotion, frame:IntentionallyCreate, frame:CauseMotion, frame:BehindTheScenes, frame:People, frame:Bringing, frame:RideVehicle, frame:OperateVehicle",,
577,a poster with a cigarette hanging from a hook with a cigarette in it,"frame:Attaching, frame:Intoxicants",,
580,a close up of a child standing in a room with a light drawing on the wall,"frame:ArchitecturalPart, frame:BuildingSubparts, frame:OccupyRank, frame:PeopleByAge, frame:Dimension",,"mft:Care, mft:Authority, folk:Consideration, bhv:Security"
581,a poster with a cigarette shaped like lungs and the words smoking causes lung cancer,"frame:Attaching, frame:Causation, frame:Intoxicants, frame:ManipulateIntoShape, frame:MedicalConditions, frame:Reshaping, frame:IntentionallyCreate",,folk:BadHealth
583,a close up of a car with a bottle of liquid on it,"frame:Vehicle, frame:Containers, frame:Substance, frame:MeasureVolume",,
584,a poster with a skeleton and a car in the background,"frame:Vehicle, frame:Attaching",,
588,"a poster for the movie, the leftover spaghettitti","frame:Attaching, frame:Creating, frame:Remainder, frame:BehindTheScenes, frame:IntentionallyCreate",,
589,a close up of a cigarette with a cigarette lighter in the middle,"frame:SettingFire, frame:Intoxicants, frame:PartInnerOuter",,
590,a close up of a crocodile's mouth with its mouth open,"frame:ObservableBodyParts, frame:ShapedPart",,folk:Control
592,a poster for the movie alien city,"frame:Attaching, frame:Creating, frame:LocaleByUse, frame:BehindTheScenes, frame:PeopleByOrigin, frame:IntentionallyCreate, frame:PoliticalLocales",,mft:Authority
597,a close up of a hedgehog in a bag with goldfish inside,"frame:MeasureVolume, frame:Containers, frame:PartInnerOuter",,
599,a picture taken from a magazine with a man pulling a tank,"frame:Vehicle, frame:Text, frame:Needing, frame:CauseMotion, frame:People, frame:TakingTime, frame:Sensation, frame:HaveAsRequirement, frame:OpticalImage, frame:Manipulation, frame:RequiredEvent",,folk:Control
601,a poster of a man driving a car with a gorilla on the dashboard,"frame:Vehicle, frame:Attaching, frame:SelfMotion, frame:CauseMotion, frame:People, frame:Bringing, frame:RideVehicle, frame:OperateVehicle",,
603,"several people holding signs that say, you should end in the wrong order","frame:ActivityStop, frame:CauseToEnd, frame:Correctness, frame:Request, frame:People, frame:TextCreation, frame:Communication, frame:ProcessEnd, frame:Statement, frame:Quantity",,mft:Harm
605,arafed man and child in a car with tools in front of them,"frame:Vehicle, frame:People, frame:PartOrientational, frame:PeopleByAge",,"mft:Care, mft:Harm"
609,a close up of a tall tower with a lot of moss on it,"frame:Buildings, frame:MeasurableAttributes, frame:BodyDescriptionHolistic, frame:Aggregate, frame:Quantity, frame:BuildingSubparts, frame:Dimension",,
611,a close up of two cars with the words don't drink and drive,"frame:SelfMotion, frame:CauseMotion, frame:Ingestion, frame:Bringing, frame:RideVehicle, frame:OperateVehicle",,folk:Control
612,arafed man in a mask holding a sign that says you see better when you're,"frame:Desirability, frame:Sign, frame:Request, frame:Accoutrements, frame:PerceptionExperience, frame:People, frame:TextCreation, frame:Communication, frame:Statement",,"folk:Excellence, folk:Intuitive"
621,araff is a man with a lot of bees on his hands,"frame:Quantity, frame:People, frame:Aggregate",,
622,a close up of a syet with a can of mountain dew next to it,"frame:MeasureVolume, frame:Containers, frame:NaturalFeatures",,
623,arafed car on the street with a bicycle on the side of it,"frame:Vehicle, frame:Roadways",,
625,a person pointing at a sign that says texting while driving,"frame:SelfMotion, frame:Sign, frame:Request, frame:CauseMotion, frame:People, frame:TextCreation, frame:Communication, frame:CauseToPerceive, frame:Statement, frame:Adducing, frame:Bringing, frame:RideVehicle, frame:OperateVehicle, frame:Evidence",,
626,arafed image of a man standing on a porch with a car,"frame:Vehicle, frame:Awareness, frame:ChangePosture, frame:People, frame:BeingLocated, frame:Posture, frame:BuildingSubparts, frame:Placing",,folk:Consciousness
627,two pictures of a drawing of a man in a bath tub and a woman in a bath tub,"frame:People, frame:Grooming, frame:BuildingSubparts",,mft:Care
634,there is a poster with a picture of a roasting chicken on a plate,"frame:Attaching, frame:Sensation, frame:Food, frame:OpticalImage, frame:ApplyHeat",,
637,a close up of a boat on a body of water with ice,"frame:Vehicle, frame:InchoativeChangeOfTemperature, frame:PartWhole, frame:CauseTemperatureChange, frame:Substance",,
638,a close up of a person on a ground with a turtle,"frame:People, frame:NaturalFeatures",,
640,a cartoon picture of a man with a hat and a belt,"frame:CreateRepresentation, frame:Accoutrements, frame:LaborProduct, frame:People, frame:Sensation, frame:OpticalImage, frame:WorkingOn",,
642,dominos with a picture of a man on them sitting on a table,"frame:ChangePosture, frame:People, frame:BeingLocated, frame:Sensation, frame:Posture, frame:OpticalImage, frame:Placing",,
644,a close up of a clown doll in a box with a knife,"frame:MeasureVolume, frame:Containers, frame:Weapon",,mft:Harm
645,arafed bus on a street with a bridge over it,"frame:Vehicle, frame:Roadways",,
648,a close up of a plate with a bowl of food on it,"frame:MeasureVolume, frame:Food",,"mft:Care, bhv:Benevolence, folk:Helping"
651,there is a man holding a bottle of beer and a knife,"frame:MeasureVolume, frame:Weapon, frame:People, frame:Food, frame:Containers",,mft:Harm
654,arafed baby in diaper holding a drink and a lime,"frame:Ingestion, frame:Clothing, frame:PeopleByAge",,folk:Family
656,three asian women in underwear posing for a picture in a field,"frame:Clothing, frame:Feigning, frame:PosingAs, frame:Sensation, frame:OpticalImage",,mft:Cheating
657,arafed image of a car with a large wing on it,"frame:Vehicle, frame:Awareness, frame:ObservableBodyParts, frame:Dimension, frame:Size",,folk:Consciousness
658,a woman standing next to a fire with a burning refrigerator,"frame:InchoativeChangeOfTemperature, frame:Event, frame:ChangePosture, frame:People, frame:BeingLocated, frame:CauseTemperatureChange, frame:Posture, frame:Placing",,
659,a close up of a person shaving a carrot with a razor,"frame:Grooming, frame:People, frame:Motion, frame:Food, frame:Removing",,mft:Care
668,araff print advert featuring two men walking up stairs,"frame:SelfMotion, frame:Cotheme",,folk:Willingness
670,a close up of a sign on a train with a picture of a man and a child,"frame:Vehicle, frame:Sign, frame:People, frame:Sensation, frame:OpticalImage, frame:PeopleByAge",,mft:Care
671,a close up of a bottle with a hose attached to it,"frame:MeasureVolume, frame:RenderNonfunctional, frame:Containers",,
674,a close up of a leaf on a leopard print background,,,
675,a close up of a person holding a cigarette in their hand,"frame:Intoxicants, frame:ObservableBodyParts, frame:Inclusion, frame:Possession, frame:People, frame:Manipulation, frame:Containing",,folk:Control
678,arafed image of a car parked in a parking lot at night,"frame:Vehicle, frame:Awareness, frame:Aggregate, frame:CalendricUnit, frame:Quantity, frame:Placing",,folk:Consciousness
681,a poster with a hand holding a bat in it,"frame:Attaching, frame:ObservableBodyParts, frame:Inclusion, frame:Possession, frame:Manipulation, frame:Containing",,folk:Control
682,a close up of a polar bear in the middle of a desert,"frame:BiologicalArea, frame:PartInnerOuter",,
683,there is a man and a boy that are sitting on a couch,"frame:ChangePosture, frame:People, frame:BeingLocated, frame:Posture, frame:Placing",,
684,a close up of a pair of scissors on a table,frame:Aggregate,,
685,a close up of a bottle opener on a piece of paper,"frame:MeasureVolume, frame:Creating, frame:PartWhole, frame:Building, frame:Containers, frame:Filling, frame:Substance, frame:Ingredients",,
687,a close up of a person with tattoos on their body,"frame:People, frame:PartWhole",,
688,there is a black cat that is standing in a frame,"frame:ChangePosture, frame:BeingLocated, frame:Posture, frame:Animals, frame:Placing, frame:Color",,
689,a woman walking next to a dinosaur in a desert,"frame:BiologicalArea, frame:People, frame:SelfMotion, frame:Cotheme",,
691,a close up of a poster with a string of lights,"frame:Attaching, frame:Connectors",,
694,there is a woman with a cigarette in her mouth and a poster with a picture of a man,"frame:Attaching, frame:Intoxicants, frame:ObservableBodyParts, frame:People, frame:Sensation, frame:OpticalImage, frame:ShapedPart",,folk:Control
698,a poster with a black and white image of a bicycle,"frame:Vehicle, frame:Attaching, frame:Color, frame:Awareness",,folk:Consciousness
699,a close up of a shoe with blood on it and a shoelacee,"frame:Filling, frame:Clothing, frame:Placing",,
703,arafed man with a toy car in his mouth and a green shirt,"frame:Vehicle, frame:Clothing, frame:ObservableBodyParts, frame:Color, frame:People, frame:ShapedPart, frame:Conduct",,folk:Control
704,there is a man standing in front of a vending machine,"frame:People, frame:OccupyRank, frame:Gizmo, frame:PartOrientational",,"mft:Authority, mft:Harm, folk:Consideration"
706,a close up of a book with a picture of a person in a suit,"frame:Text, frame:Clothing, frame:People, frame:PartOrderedSegments, frame:Sensation, frame:OpticalImage",,
709,arafed image of a person skiing down a snowy mountain,"frame:People, frame:Awareness, frame:NaturalFeatures",,folk:Consciousness
